,id,chave,rodada,equipe_mandante,equipe_visitante,is_finalizado,jogo_ficticio,hora_realizacao,jogo_id,data_realizacao,escalacao_equipe_mandante_id,escalacao_equipe_visitante_id,placar_oficial_mandante,placar_oficial_visitante,placar_penaltis_mandante,placar_penaltis_visitante,empate,suspenso,cancelado,wo,decisivo,publico_total,renda,renda_moeda,observacao,publico_pagante,ordem_na_chave,fase,sede,vencedor_jogo
100,8524,,11,CAM,Santos,True,False,19:00:00,287798,2022-06-11,479389,479392,1,1,,,True,False,False,False,False,26501,893582.0,REAL,,20818,,101,52,
101,8525,,11,Fluminense,Atletico-GO,True,False,19:00:00,287799,2022-06-11,479396,479398,0,2,,,False,False,False,False,False,27859,695430.0,REAL,,25745,,101,28,47
102,8526,,11,Sao Paulo,America-MG,True,False,16:00:00,287800,2022-06-12,479377,479378,1,0,,,False,False,False,False,False,,1098878.0,REAL,,26847,,101,16,4
103,8527,,11,Corinthians,Juventude,True,False,16:30:00,287801,2022-06-11,479379,479380,2,0,,,False,False,False,False,False,,2197465.0,REAL,,34617,,101,6,2
104,8528,,11,Botafogo,Avai,True,False,19:00:00,287802,2022-06-13,479418,479419,0,1,,,False,False,False,False,False,12627,220135.0,REAL,,11525,,101,31,36
105,8529,,11,Internacional,Flamengo,True,False,21:00:00,287803,2022-06-11,479409,479410,3,1,,,False,False,False,False,False,,1172545.0,REAL,,22392,,101,53,12
106,8530,,11,Fortaleza,Athletico-PR,True,False,19:00:00,287804,2022-06-12,479416,479417,0,0,,,True,False,False,False,False,,118976.0,REAL,,18167,,101,99,
107,8531,,11,Goias,Ceara,True,False,16:00:00,287805,2022-06-12,479411,479412,1,1,,,True,False,False,False,False,9011,190025.0,REAL,,7848,,101,177,
108,8532,,11,Cuiaba,Bragantino,True,False,19:00:00,287806,2022-06-11,479403,479404,1,1,,,True,False,False,False,False,4476,92395.0,REAL,,3801,,101,116,
109,8533,,11,Coritiba,Palmeiras,True,False,18:00:00,287807,2022-06-12,479415,479414,0,2,,,False,False,False,False,False,,1060085.0,REAL,,27356,,101,111,5
110,8534,,12,America-MG,Fluminense,True,False,21:30:00,287808,2022-06-15,479460,479461,0,0,,,True,False,False,False,False,2599,68346.0,REAL,,1661,,101,39,
111,8535,,12,Flamengo,Cuiaba,True,False,20:30:00,287809,2022-06-15,479455,479456,2,0,,,False,False,False,False,False,43930,1431946.0,REAL,,40916,,101,28,17
112,8536,,12,Bragantino,Coritiba,True,False,19:00:00,287810,2022-06-15,479451,479452,4,2,,,False,False,False,False,False,,31215.0,REAL,,2352,,101,4,11
113,8537,,12,Palmeiras,Atletico-GO,True,False,18:00:00,287811,2022-06-16,479457,479499,4,2,,,False,False,False,False,False,,2130127.0,REAL,,38888,,101,11,5
114,8538,,12,Botafogo,Sao Paulo,True,False,16:00:00,287812,2022-06-16,479464,479465,1,0,,,False,False,False,False,False,18677,453785.0,REAL,,17135,,101,31,18
115,8539,,12,Juventude,Santos,True,False,21:30:00,287813,2022-06-14,479599,479600,1,2,,,False,False,False,False,False,3025,90640.0,REAL,,2628,,101,174,3
116,8540,,12,Ceara,CAM,True,False,19:00:00,287814,2022-06-15,479453,479454,0,0,,,True,False,False,False,False,26774,244401.0,REAL,,26766,,101,99,
117,8541,,12,Goias,Internacional,True,False,20:30:00,287815,2022-06-15,479458,479459,1,2,,,False,False,False,False,False,8892,233520.0,REAL,,7689,,101,177,12
118,8542,,12,Avai,Fortaleza,True,False,19:00:00,287816,2022-06-16,479466,479467,3,2,,,False,False,False,False,False,8937,195350.0,REAL,,8155,,101,100,36
119,8543,,12,Athletico-PR,Corinthians,True,False,21:30:00,287817,2022-06-15,479462,479463,1,1,,,True,False,False,False,False,,1116710.0,REAL,,25965,,101,49,
120,8544,,13,CAM,Flamengo,True,False,16:00:00,287658,2022-06-19,479566,479567,2,0,,,False,False,False,False,False,55373,2112485.0,REAL,,48310,,101,52,15
121,8545,,13,Fluminense,Avai,True,False,19:00:00,287659,2022-06-19,479591,479592,2,0,,,False,False,False,False,False,15530,396462.0,REAL,,14207,,101,28,20
122,8546,,13,Sao Paulo,Palmeiras,True,False,20:00:00,287660,2022-06-20,479594,479596,1,2,,,False,False,False,False,False,,1314153.0,REAL,,31055,,101,16,5
123,8547,,13,Corinthians,Goias,True,False,16:00:00,287661,2022-06-19,479570,479571,1,0,,,False,False,False,False,False,,2188138.0,REAL,,35900,,101,6,2
124,8548,,13,Santos,Bragantino,True,False,21:00:00,287662,2022-06-18,479564,479565,2,2,,,True,False,False,False,False,,361889.0,REAL,,10924,,101,2,
125,8549,,13,Internacional,Botafogo,True,False,18:00:00,287663,2022-06-19,479576,479577,2,3,,,False,False,False,False,False,,1218667.0,REAL,,26219,,101,53,18
126,8550,,13,Fortaleza,America-MG,True,False,18:00:00,287664,2022-06-19,479580,479581,1,0,,,False,False,False,False,False,,124119.0,REAL,,17709,,101,99,69
127,8551,,13,Atletico-GO,Juventude,True,False,18:00:00,287665,2022-06-19,479588,479589,3,1,,,False,False,False,False,False,4524,35425.0,REAL,,3533,,101,113,47
128,8552,,13,Cuiaba,Ceara,True,False,19:00:00,287666,2022-06-18,479562,479563,0,0,,,True,False,False,False,False,7512,155405.0,REAL,,6526,,101,116,
129,8553,,13,Coritiba,Athletico-PR,True,False,16:00:00,287667,2022-06-19,479572,479573,0,1,,,False,False,False,False,False,,380615.0,REAL,,22609,,101,111,44
130,8554,,14,CAM,Fortaleza,True,False,21:00:00,287688,2022-06-25,479617,479618,3,2,,,False,False,False,False,False,30003,866542.0,REAL,,24416,,101,52,15
131,8555,,14,Flamengo,America-MG,True,False,19:00:00,287689,2022-06-25,479613,479614,3,0,,,False,False,False,False,False,42931,1437355.0,REAL,,40050,,101,28,17
132,8556,,14,Sao Paulo,Juventude,True,False,18:00:00,287690,2022-06-26,479625,479626,0,0,,,True,False,False,False,False,,780806.0,REAL,,20466,,101,16,
133,8557,,14,Corinthians,Santos,True,False,19:00:00,287691,2022-06-25,479615,479616,0,0,,,True,False,False,False,False,,2443239.0,REAL,,40842,,101,6,
134,8558,,14,Botafogo,Fluminense,True,False,16:00:00,287692,2022-06-26,479620,479622,0,1,,,False,False,False,False,False,29791,724660.0,REAL,,27870,,101,31,20
135,8559,,14,Internacional,Coritiba,True,False,21:30:00,287693,2022-06-24,479712,479720,3,0,,,False,False,False,False,False,,561464.0,REAL,,13454,,101,53,12
136,8560,,14,Ceara,Atletico-GO,True,False,18:00:00,287694,2022-06-26,479627,479628,1,1,,,True,False,False,False,False,,134651.0,REAL,,21337,,101,99,
